,Date,Time,Latitude,Longitude,Depth,Region,Type,Automatic/Manual,Magnitude,Network
0,12-11-25,20:47:53.1,59.778,-153.332,125,SOUTHERN ALASKA,origin,A,2.5,AK
1,12-11-25,20:35:14.3,34.483,-119.016,10,SOUTHERN CALIFORNIA,origin,A,2.0,SCSN*
2,12-11-25,20:32:04.9,67.371,-156.524,5,NORTHERN ALASKA,origin,A,3.0,AK*
3,12-11-25,20:25:27.7,-21.373,-70.137,10,"OFFSHORE ANTOFAGASTA, CHILE",origin,A,3.5,SC4
4,12-11-25,20:24:32.0,23.234,120.663,10,TAIWAN,origin,M,3.7,MET
5,12-11-25,20:24:29.2,23.155,120.507,7,TAIWAN,origin,A,4.0,MIX
6,12-11-25,20:24:28.4,23.19,120.47,9,TAIWAN,origin,M,4.0,CWB*
7,12-11-25,20:22:23.0,-2.1,120.63,5,"SULAWESI, INDONESIA",origin,M,2.7,BMKG*
8,12-11-25,20:21:02.0,-8.86,123.05,11,"FLORES REGION, INDONESIA",origin,M,3.1,BMKG*
9,12-11-25,20:17:40.3,39.476,20.424,15,GREECE,origin,A,2.9,IGEO
10,12-11-25,20:17:38.0,39.421,20.556,19,GREECE,origin,M,2.9,NOA
11,12-11-25,20:17:37.0,39.421,20.556,19,GREECE,origin,A,2.9,INFO*
12,12-11-25,20:10:44.6,60.763,-150.913,47,"KENAI PENINSULA, ALASKA",origin,A,2.0,AK
13,12-11-25,19:59:41.0,-13.61,-72.15,9,CENTRAL PERU,origin,A,3.5,LIM*
14,12-11-25,19:59:37.0,-10.8,114.73,5,"SOUTH OF BALI, INDONESIA",origin,M,2.9,BMKG*
15,12-11-25,19:54:31.5,39.189,28.271,10,WESTERN TURKEY,origin,A,3.1,MIX
16,12-11-25,19:54:31.5,39.176,28.246,14,WESTERN TURKEY,origin,M,3.2,KOERI
17,12-11-25,19:54:31.0,39.189,28.271,10,WESTERN TURKEY,origin,M,3.0,AFAD*
18,12-11-25,19:53:56.0,-9.85,119.1,184,"SUMBA REGION, INDONESIA",origin,M,2.8,BMKG*
19,12-11-25,19:50:26.3,45.894,2.843,6,FRANCE,origin,A,2.0,ReNaSS*
20,12-11-25,19:45:05.0,-21.17,-68.97,110,"TARAPACA, CHILE",origin,M,2.9,CSN*
21,12-11-25,19:40:16.5,39.162,28.248,15,WESTERN TURKEY,origin,M,2.9,KOERI
22,12-11-25,19:40:16.0,39.16,28.255,8,WESTERN TURKEY,origin,A,2.8,INFO*
23,12-11-25,19:40:15.0,39.16,28.255,8,WESTERN TURKEY,origin,M,2.8,AFAD
24,12-11-25,19:33:58.9,48.63,26.14,3,UKRAINE-ROMANIA-MOLDOVA BDR REG,origin,M,2.9,MCSM*
25,12-11-25,19:30:55.3,39.195,28.266,5,WESTERN TURKEY,origin,A,1.9,INFO*
26,12-11-25,19:30:55.3,39.195,28.259,14,WESTERN TURKEY,origin,M,1.9,KOERI
27,12-11-25,19:30:54.0,39.195,28.266,5,WESTERN TURKEY,origin,M,1.8,AFAD
28,12-11-25,19:25:53.6,60.318,-139.673,4,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,2.1,AK
29,12-11-25,19:25:48.0,37.5,72.6,90,TAJIKISTAN,origin,M,4.0,NDI
30,12-11-25,19:22:28.9,-30.324,-71.314,10,"COQUIMBO, CHILE",origin,A,3.4,SC4
31,12-11-25,19:22:27.0,-32.02,-71.64,41,"OFFSHORE COQUIMBO, CHILE",origin,M,2.7,CSN*
32,12-11-25,19:20:45.1,60.509,-139.918,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,M,3.9,AK*
33,12-11-25,19:20:44.0,60.531,-139.968,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,4.2,CN
34,12-11-25,19:18:52.2,60.338,-139.836,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,2.1,AK
35,12-11-25,18:59:55.8,34.485,-119.015,10,SOUTHERN CALIFORNIA,origin,A,2.2,SCSN*
36,12-11-25,18:59:30.0,43.4,141.6,10,"HOKKAIDO, JAPAN REGION",origin,A,3.0,JMA*
37,12-11-25,18:57:54.0,60.391,-147.762,19,SOUTHERN ALASKA,origin,A,2.9,AK
38,12-11-25,18:56:44.1,58.754,-153.825,12,"KODIAK ISLAND REGION, ALASKA",origin,A,2.0,AK
39,12-11-25,18:52:03.4,44.803,6.759,5,FRANCE,origin,A,2.1,ReNaSS*
40,12-11-25,18:47:56.0,-6.03,122.55,10,FLORES SEA,origin,M,3.2,BMKG*
41,12-11-25,18:44:48.1,40.319,-124.574,11,OFFSHORE NORTHERN CALIFORNIA,origin,A,2.2,NC
42,12-11-25,18:41:26.0,39.204,28.109,7,WESTERN TURKEY,origin,M,0.9,AFAD*
43,12-11-25,18:39:35.0,-9.57,121.27,21,SAVU SEA,origin,M,2.7,BMKG*
44,12-11-25,18:38:03.2,-32.642,-70.485,10,"VALPARAISO, CHILE",origin,A,2.4,SC4
45,12-11-25,18:37:48.4,-0.335,132.25,10,"NEAR N COAST OF PAPUA, INDONESIA",origin,M,4.4,NEIC
46,12-11-25,18:37:48.0,-0.18,132.45,10,"NEAR N COAST OF PAPUA, INDONESIA",origin,M,4.3,BMKG*
47,12-11-25,18:31:12.1,34.483,-119.016,11,SOUTHERN CALIFORNIA,origin,M,2.7,SCSN
48,12-11-25,18:31:11.9,34.512,-119.021,10,SOUTHERN CALIFORNIA,origin,M,2.6,NEIC*
49,12-11-25,18:29:20.1,-43.169,171.098,5,SOUTH ISLAND OF NEW ZEALAND,origin,M,3.4,GNS*
50,12-11-25,18:29:09.0,36.471,42.294,24,IRAQ,origin,M,2.4,AFAD*
51,12-11-25,18:29:05.4,34.486,-119.031,8,SOUTHERN CALIFORNIA,origin,A,2.6,SCSN*
52,12-11-25,18:28:27.9,34.487,-119.017,10,SOUTHERN CALIFORNIA,origin,A,2.5,SCSN
53,12-11-25,18:27:32.1,34.486,-119.015,10,SOUTHERN CALIFORNIA,origin,A,2.6,SCSN
54,12-11-25,18:27:32.1,34.488,-119.018,11,SOUTHERN CALIFORNIA,origin,M,3.1,SCSN*
55,12-11-25,18:27:31.7,34.504,-119.011,10,SOUTHERN CALIFORNIA,origin,M,3.0,NEIC
