Date,Time,Latitude,Longitude,Depth,Region,Type,Automatic/Manual,Magnitude,Network
2025-12-11,20:47:53.1,59.778,-153.332,125,SOUTHERN ALASKA,origin,A,2.5,AK
2025-12-11,20:35:14.3,34.483,-119.016,10,SOUTHERN CALIFORNIA,origin,A,2.0,SCSN*
2025-12-11,20:32:04.9,67.371,-156.524,5,NORTHERN ALASKA,origin,A,3.0,AK*
2025-12-11,20:25:27.7,-21.373,-70.137,10,"OFFSHORE ANTOFAGASTA, CHILE",origin,A,3.5,SC4
2025-12-11,20:24:32.0,23.234,120.663,10,TAIWAN,origin,M,3.7,MET
2025-12-11,20:24:29.2,23.155,120.507,7,TAIWAN,origin,A,4.0,MIX
2025-12-11,20:24:28.4,23.190,120.470,9,TAIWAN,origin,M,4.0,CWB*
2025-12-11,20:22:23.0,-2.100,120.630,5,"SULAWESI, INDONESIA",origin,M,2.7,BMKG*
2025-12-11,20:21:02.0,-8.860,123.050,11,"FLORES REGION, INDONESIA",origin,M,3.1,BMKG*
2025-12-11,20:17:40.3,39.476,20.424,15,GREECE,origin,A,2.9,IGEO
2025-12-11,20:17:38.0,39.421,20.556,19,GREECE,origin,M,2.9,NOA
2025-12-11,20:17:37.0,39.421,20.556,19,GREECE,origin,A,2.9,INFO*
2025-12-11,20:10:44.6,60.763,-150.913,47,"KENAI PENINSULA, ALASKA",origin,A,2.0,AK
2025-12-11,19:59:41.0,-13.610,-72.150,9,CENTRAL PERU,origin,A,3.5,LIM*
2025-12-11,19:59:37.0,-10.800,114.730,5,"SOUTH OF BALI, INDONESIA",origin,M,2.9,BMKG*
2025-12-11,19:54:31.5,39.189,28.271,10,WESTERN TURKEY,origin,A,3.1,MIX
2025-12-11,19:54:31.5,39.176,28.246,14,WESTERN TURKEY,origin,M,3.2,KOERI
2025-12-11,19:54:31.0,39.189,28.271,10,WESTERN TURKEY,origin,M,3.0,AFAD*
2025-12-11,19:53:56.0,-9.850,119.100,184,"SUMBA REGION, INDONESIA",origin,M,2.8,BMKG*
2025-12-11,19:50:26.3,45.894,2.843,6,FRANCE,origin,A,2.0,ReNaSS*
2025-12-11,19:45:05.0,-21.170,-68.970,110,"TARAPACA, CHILE",origin,M,2.9,CSN*
2025-12-11,19:40:16.5,39.162,28.248,15,WESTERN TURKEY,origin,M,2.9,KOERI
2025-12-11,19:40:16.0,39.160,28.255,8,WESTERN TURKEY,origin,A,2.8,INFO*
2025-12-11,19:40:15.0,39.160,28.255,8,WESTERN TURKEY,origin,M,2.8,AFAD
2025-12-11,19:33:58.9,48.630,26.140,3,UKRAINE-ROMANIA-MOLDOVA BDR REG,origin,M,2.9,MCSM*
2025-12-11,19:30:55.3,39.195,28.266,5,WESTERN TURKEY,origin,A,1.9,INFO*
2025-12-11,19:30:55.3,39.195,28.259,14,WESTERN TURKEY,origin,M,1.9,KOERI
2025-12-11,19:30:54.0,39.195,28.266,5,WESTERN TURKEY,origin,M,1.8,AFAD
2025-12-11,19:25:53.6,60.318,-139.673,4,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,2.1,AK
2025-12-11,19:25:48.0,37.500,72.600,90,TAJIKISTAN,origin,M,4.0,NDI
2025-12-11,19:22:28.9,-30.324,-71.314,10,"COQUIMBO, CHILE",origin,A,3.4,SC4
2025-12-11,19:22:27.0,-32.020,-71.640,41,"OFFSHORE COQUIMBO, CHILE",origin,M,2.7,CSN*
2025-12-11,19:20:45.1,60.509,-139.918,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,M,3.9,AK*
2025-12-11,19:20:44.0,60.531,-139.968,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,4.2,CN
2025-12-11,19:18:52.2,60.338,-139.836,5,"SOUTHERN YUKON TERRITORY, CANADA",origin,A,2.1,AK
2025-12-11,18:59:55.8,34.485,-119.015,10,SOUTHERN CALIFORNIA,origin,A,2.2,SCSN*
2025-12-11,18:59:30.0,43.400,141.600,10,"HOKKAIDO, JAPAN REGION",origin,A,3.0,JMA*
2025-12-11,18:57:54.0,60.391,-147.762,19,SOUTHERN ALASKA,origin,A,2.9,AK
2025-12-11,18:56:44.1,58.754,-153.825,12,"KODIAK ISLAND REGION, ALASKA",origin,A,2.0,AK
2025-12-11,18:52:03.4,44.803,6.759,5,FRANCE,origin,A,2.1,ReNaSS*
2025-12-11,18:47:56.0,-6.030,122.550,10,FLORES SEA,origin,M,3.2,BMKG*
2025-12-11,18:44:48.1,40.319,-124.574,11,OFFSHORE NORTHERN CALIFORNIA,origin,A,2.2,NC
2025-12-11,18:41:26.0,39.204,28.109,7,WESTERN TURKEY,origin,M,0.9,AFAD*
2025-12-11,18:39:35.0,-9.570,121.270,21,SAVU SEA,origin,M,2.7,BMKG*
2025-12-11,18:38:03.2,-32.642,-70.485,10,"VALPARAISO, CHILE",origin,A,2.4,SC4
2025-12-11,18:37:48.4,-0.335,132.250,10,"NEAR N COAST OF PAPUA, INDONESIA",origin,M,4.4,NEIC
2025-12-11,18:37:48.0,-0.180,132.450,10,"NEAR N COAST OF PAPUA, INDONESIA",origin,M,4.3,BMKG*
2025-12-11,18:31:12.1,34.483,-119.016,11,SOUTHERN CALIFORNIA,origin,M,2.7,SCSN
2025-12-11,18:31:11.9,34.512,-119.021,10,SOUTHERN CALIFORNIA,origin,M,2.6,NEIC*
2025-12-11,18:29:20.1,-43.169,171.098,5,SOUTH ISLAND OF NEW ZEALAND,origin,M,3.4,GNS*
